"","age","site","temp","temp.sd","d18sw","d18sw.se","Rhat","n.eff","post_d18p","post_d18p_sd","d18p_eff","post_z","post_z_sd","z_eff","post_RH","post_RH_sd","RH_eff","post_evap","post_evap_sd","evap_eff","post_MAST","post_MAST_sd","MAST_eff"
"1",2.797,"Lantian",12.1402169897786,3.07778363723821,-10.2954354131855,0.603721348957896,1.00069076907162,3000,-10.6576709324243,0.690344757672938,"positive",69.8798794332458,8.76797643611578,"positive",0.794491278004621,0.0920943997281989,"positive",8.23007178345844e-10,1.40392344973008e-10,"positive",1.3161336122405,2.89572212994102,"positive"
"2",3.0292,"Jiaxian",18.5656967848478,2.74064582459255,-9.85054460036246,0.519277762897164,1.00067018830116,3000,-13.8699343036562,1.80529478784874,"positive",68.3853246547199,8.7907451781146,"positive",0.620726980619838,0.180581522733137,"positive",6.1443143043009e-10,2.49678137614067e-10,"positive",5.47572190266858,2.66692029916705,"positive"
"3",3.088,"Lantian",13.696901292562,3.31625931893802,-10.1456823281229,0.661789293128515,1.00167503446921,1700,-14.9080235326187,1.98778501571939,"positive",69.2511496085392,8.55338261579277,"positive",0.527770649909564,0.201401197793233,"positive",6.39427254700856e-10,2.42768407837071e-10,"positive",3.56137489792259,2.86380355234677,"positive"
"4",3.4831,"Jiaxian",28.4041162720715,3.52537565576569,-7.9017536029085,0.626074394634339,1.00090469841747,3000,-13.0191463449811,1.86956521791796,"positive",63.3829591407792,8.95075796711036,"positive",0.699079241818764,0.123173737027452,"positive",5.48492619501688e-10,2.62250313144065e-10,"positive",13.4252612948704,3.04987861537058,"positive"
"5",3.4831,"Jiaxian",28.4041162720715,3.52537565576569,-7.68065314471658,0.629170482974268,1.00090546261643,3000,-12.2163263520358,1.79079080194416,"positive",63.7595674381659,9.07646125988743,"positive",0.698639192175084,0.121370895398945,"positive",6.01767155550173e-10,2.62237407901532e-10,"positive",13.3654489194628,3.09725977856919,"positive"
"6",3.548125,"Shilou",20.0273468291486,3.87808881178967,-8.26247276427644,0.722228814563763,1.00196011433545,1400,-10.6546293539625,1.28695449411012,"positive",66.5147781651973,8.77497211325838,"positive",0.720238195144015,0.125535867308873,"positive",6.81083809280125e-10,2.22457350623898e-10,"positive",8.66227803759988,3.16235604354386,"positive"
"7",3.684,"Lantian",20.933816053949,4.35555672637389,-9.4563779222905,0.805266185471877,1.00173609097192,1600,-12.4537261738674,1.4084627483851,"positive",65.7425793589206,8.96552751393598,"positive",0.702637236247916,0.127724844625161,"positive",6.71230218338793e-10,2.32260215563656e-10,"positive",10.1472793362392,3.43701965123624,"positive"
"8",3.915714,"Shilou",11.5482051108972,4.81111847967998,-10.0262905122378,0.945975669313861,1.00175899412562,1600,-12.2376529285756,1.53167765625893,"positive",67.7326519942443,8.65567020874915,"positive",0.6958391623653,0.146535580627135,"positive",7.00762810471997e-10,2.17393381523238e-10,"positive",6.17630000782729,3.58765888526577,"positive"
"9",4.3533,"Jiaxian",22.6651801583267,2.80090100936491,-8.33002586888079,0.514409555668089,1.00102704429511,3000,-13.9767375741756,1.81158532267956,"positive",66.4001168288003,8.78107146057222,"positive",0.60598121913065,0.173252489009698,"negative",5.79596439773446e-10,2.61943118180471e-10,"negative",8.38283943769665,2.70361501454836,"positive"
"10",4.505,"Lantian",26.0742469930378,3.66346600025742,-9.34703400758093,0.655105676469831,1.00095639541165,3000,-10.3534225568963,0.857087778026484,"positive",64.7536103617101,8.71422472249467,"positive",0.81380743743448,0.0654711614645773,"positive",7.89072118385276e-10,1.55330236842515e-10,"positive",11.6984635098182,3.12114138894747,"positive"
"11",4.51234358952381,"Shilou",18.2709175280546,3.47939134058419,-9.31630696388191,0.66161130358817,1.00088261392959,3000,-12.0257494815123,1.88332352684278,"positive",67.4292874111263,8.87137722554562,"positive",0.689112407360936,0.152618675876276,"positive",6.84393441512909e-10,2.26802058383291e-10,"positive",6.75932233810354,3.08034250054589,"positive"
"12",4.8692,"Jiaxian",25.5657616918596,2.72141395480679,-5.5749128470277,0.511575079556343,1.00274116157274,890,-9.91025871423487,1.75928424617143,"positive",65.4995421250104,8.74526694437179,"positive",0.666282713973483,0.138461468273864,"negative",6.25236297072793e-10,2.49824296724617e-10,"negative",10.3917455530632,2.60582119034837,"positive"
"13",4.8692,"Jiaxian",25.5657616918596,2.72141395480679,-9.48790143023637,0.491905223683647,1.00104317976546,3000,-13.6572489151461,1.78973195756272,"positive",65.4370891642085,8.91351524088296,"positive",0.686010303769206,0.137931923340436,"positive",6.05121391977854e-10,2.51435980481803e-10,"positive",10.4561017772703,2.6279251585448,"positive"
"14",5.05268589715384,"Shilou",29.1001285143084,3.81380560418296,-7.11218432005047,0.675654280788,1.00270549135101,1700,-17.0065280066539,2.88662936817594,"positive",63.3427757782025,9.00026302617159,"positive",0.526333591752007,0.149995376920283,"negative",5.48689556611785e-10,2.85365104089819e-10,"negative",14.2301160292828,3.16526160755897,"positive"
"15",5.31,"Lantian",19.9951277679129,3.80979850265004,-9.51810332944797,0.710053545928407,1.00083469840327,3000,-11.0961163079323,1.29343113368739,"positive",66.5299031053329,8.81959126149926,"positive",0.752925242702634,0.115332261384348,"positive",7.5013169774057e-10,1.92912859695286e-10,"positive",8.21045372585597,3.25002617263082,"positive"
"16",5.6,"Lantian",11.5187011774421,4.00643341737083,-11.8457366171699,0.793429167684644,1.00158964875326,1800,-16.5814044591034,1.7802015075002,"positive",68.8376934383974,8.83780266690329,"positive",0.547724077239999,0.199922638329322,"positive",6.23089199958e-10,2.47777260666956e-10,"positive",4.07229645453867,3.26643568766423,"positive"
"17",5.8536,"Jiaxian",11.153612814387,3.02197341796239,-11.1072159549792,0.598211857590303,1.00062606288,3000,-13.0065686001944,1.45350235101245,"positive",70.5114826547506,8.85551247495624,"positive",0.636625807652256,0.185693908560884,"positive",7.0570010433873e-10,2.10385491132524e-10,"positive",0.756284863819836,2.77391874247288,"positive"
"18",5.96659803397297,"Shilou",20.2531781064095,3.5182677055916,-9.63665509740578,0.651589072325572,1.00268722449387,920,-12.102214061196,2.0203381530774,"positive",66.7964489514018,8.54917143059343,"positive",0.724769172858999,0.136645639746192,"positive",6.89271416525455e-10,2.25993114275535e-10,"positive",8.04345128894024,3.06221870882368,"positive"
"19",6.163,"Lantian",19.2570086985938,4.31379189679279,-9.75298530460376,0.804426164899299,1.00113133625632,3000,-13.0300637893061,1.41456243599212,"positive",66.2261258447479,8.69922510001888,"positive",0.68368374643127,0.138754935241567,"positive",6.4673086126311e-10,2.40498863292523e-10,"positive",8.9890538608391,3.41446490008152,"positive"
"20",6.59284791525,"Shilou",11.5482051108972,3.3025255721904,-10.4948235398087,0.641840109979839,1.00093146309682,3000,-12.1965268281129,1.23151415999498,"positive",69.9936910937629,8.49182146200714,"positive",0.672848798728266,0.163370445644115,"positive",7.01135857897638e-10,2.08552559241458e-10,"positive",1.85747987317436,2.94004275399775,"positive"
"21",6.6467,"Jiaxian",11.2839803355484,3.02608840371602,-10.6281177529808,0.598878989156199,1.00062531513754,3000,-13.7022028311301,1.68506077958277,"positive",70.4314311524706,8.66653137773527,"positive",0.580326759578454,0.206432317536206,"positive",6.45911262572115e-10,2.42486232941638e-10,"positive",1.00836272789721,2.76572175015975,"positive"
"22",7.03171747870588,"Shilou",13.8781631756071,3.35392952031748,-10.3080124913745,0.650406762052345,1.00412454008447,550,-15.1685411689879,2.7792300782556,"negative",68.9652102497654,8.86373392994421,"positive",0.573570766275006,0.202097603322236,"positive",6.04517442520671e-10,2.50604103925543e-10,"positive",3.81134139247007,2.96803486681629,"positive"
